TIME(S)",Time_years,cs05rc A99 PRES,cs05rc A99 TEMP,SAT_G",SAT_L
94706907.062000006,3.0010807875757348,32728364.839000002,179.60741942999999,0,1
94729181.062000006,3.0017866080437043,32755409.594999999,179.60387034999999,0,1
94773729.062000006,3.0031982489796438,32812592.973000001,179.59629802000001,0,1
94862825.062000006,3.0060215308515223,32931046.412999999,179.58058448,0,1
95041017.062000006,3.0116680945952798,33173222.616999999,179.54842699,0,1
95397401.062000006,3.0229612220827948,33664937.25,179.48303217,0,1
95753785.062000006,3.0342543495703098,34163496.094999999,179.41659096999999,0,1
96466553.062000006,3.0568406045453393,35138720.060999997,179.28623347000001,0,1
97179321.062000006,3.0794268595203693,36065150.718999997,179.16192161999999,0,1
97892089.062000006,3.1020131144953993,36911014.494000003,179.04801922999999,0,1
98604857.062000006,3.1245993694704288,37658609.726999998,178.94703369000001,0,1
99317625.062000006,3.1471856244454588,38303444.294,178.85969312,0,1
100030393.06,3.1697718793571124,38850572.835000001,178.78541634999999,0,1
101455929.06,3.2149443893071719,39640508.079000004,178.67790332000001,0,1
102562200,3.25,40113989.409000002,178.61330702999999,0,1
102606748,3.2514116409359395,39813161.471000001,178.6042247,0,1
102651296,3.2528232818718785,39806859.958999999,178.60436003000001,0,1
102740392,3.2556465637437575,39795000.685000002,178.59083616000001,0,1
102918584,3.261293127487515,39772958.004000001,178.52964248000001,0,1
103096776,3.2669396912312725,39752208.601999998,178.44309792999999,0,1
103453160,3.278232818718787,39714336.685000002,178.20453674999999,0,1
103809544,3.289525946206302,39679245.980999999,177.92353148999999,0,1
104522312,3.312112201181332,39616390.388999999,177.28521581999999,0,1
105947848,3.3572847111313915,39507479.347999997,175.98494743000001,0,1
108798920,3.4476297310315105,39322667.167000003,173.74673418,0,1
110451600,3.5,39223362.162,172.5864885,0,1
110451621.75,3.5000006892159101,39474453.769000001,150.73936498,0,1
110451643.5,3.5000013784318198,39500419.887999997,138.97416849999999,0,1
110451687.01000001,3.5000027571805208,39521929.049999997,130.21914658,0,1
110451774.02,3.5000055143610411,39540196.545999996,126.19116208,0,1
110451948.03,3.500011028405202,39553317.920000002,125.12779673,0,1
110452296.06,3.5000220568104039,39561700.288999997,124.95851473,0,1
110452992.12,3.5000441136208078,39567063.338,124.92455433000001,0,1
110453688.19,3.5000661707480925,39569570.946000002,124.91206753,0,1
110454384.25,3.5000882275584964,39570954.284000002,124.90561413,0,1
110455080.31,3.5001102843689003,39571768.322999999,124.90210851000001,0,1
110456472.44,3.5001543983065884,39572313.299999997,124.89939341,0,1
110459256.69,3.5002426258650847,39571699.048,124.89807392,0,1
110464825.19,3.500419080982077,39567933.888999999,124.89812483,0,1
110475962.19,3.500771991216062,39557058.795000002,124.89976953,0,1
110498236.19,3.5014778116840315,39531457.916000001,124.90408336,0,1
110542784.19,3.502889452619971,39476345.859999999,124.91349672,0,1
110631880.19,3.5057127344918499,39362411.982000001,124.93298713,0,1
110810072.19,3.511359298235607,39130495.281999998,124.97265788999999,0,1
111166456.19,3.522652425723122,38660515.781999998,125.05300688,0,1
111344648.19,3.5282989894668795,38427751.272,125.09277815,0,1
111701032.19,3.5395921169543945,37957665.961000003,125.17305235000001,0,1
112413800.19,3.5621783719294244,37039833.401000001,125.32960545,0,1
112770184.19,3.573471499416939,36595549.537,125.40529979,0,1
113482952.19,3.596057754391969,35777556.347000003,125.54451584,0,1
114908488.19,3.6412302643420285,34514132.979000002,125.75915959,0,1
117759560.19,3.7315752842421475,33087650.568,126.00094300000001,0,1
118341000,3.75,32840578.225000001,126.04275964999999,0,1
118363274,3.7507058204679695,32446433.432999998,126.03797114,0,1
118385548,3.7514116409359395,32447405.370000001,126.04406355,0,1
118407822,3.752117461403909,32448528.925000001,126.0490056,0,1
118452370,3.7535291023398485,32450695.943999998,126.0577358,0,1
118541466,3.756352384211727,32454757.949999999,126.07693229,0,1
118719658,3.7619989479554845,32461983.381999999,126.12911889,0,1
119076042,3.7732920754429995,32473839.175999999,126.27834145999999,0,1
119788810,3.7958783304180295,32491284.842,126.66607261,0,1
121214346,3.841050840368089,32513794.302000001,127.50006224000001,0,1
124065418,3.931395860268208,32539035.912,128.89819009999999,0,1
126230400,4,32552346.214000002,129.7745515,0,1
126230443.5,4.0000013784318202,32881874.000999998,161.23137843999999,0,1
126230487.01000001,4.0000027571805212,32898306.936999999,172.82875462999999,0,1
126230574.02,4.0000055143610416,32902819.669,178.01482393000001,0,1
126230748.03,4.0000110284052024,32901325.647999998,179.32505928,0,1
126231096.06,4.0000220568104039,32897593.960000001,179.51895189000001,0,1
126231444.09,4.0000330852156063,32895333.796999998,179.54558186,0,1
126231792.12,4.0000441136208078,32893886.721999999,179.55712453999999,0,1
126232488.19,4.0000661707480925,32892242.333999999,179.56923406999999,0,1
126233880.31,4.0001102843689003,32890877.451000001,179.57877314999999,0,1
126236664.56,4.0001985119273966,32890829.572999999,179.58361729999999,0,1
126242233.06,4.0003749670443884,32894107.545000002,179.58486352,0,1
126253370.06,4.0007278772783739,32904582.342999998,179.58394165000001,0,1
126264507.06,4.0010807875123584,32916756.504999999,179.58242675,0,1
126275644.06,4.0014336977463429,32929746.473000001,179.58073259,0,1
126297918.06,4.0021395182143129,32956978.842,179.57713292,0,1
126342466.06,4.0035511591502519,33013629.456,179.56961906999999,0,1
126431562.06,4.0063744410221309,33130220.899,179.55413831000001,0,1
126520658.06,4.0091977228940099,33249415.118000001,179.53830221000001,0,1
126698850.06,4.0148442866377669,33489833.949000001,179.50633490000001,0,1
127055234.06,4.0261374141252819,33975397.068000004,179.44167411000001,0,1
127768002.06,4.0487236691003119,34941720.604999997,179.31260777,0,1
128480770.06,4.0713099240753419,35876013.457000002,179.18733818000001,0,1
129193538.06,4.0938961790503718,36742112.055,179.07079372999999,0,1
129906306.06,4.1164824340254009,37516973.972000003,178.96618859,0,1
130619074.06,4.1390686890004309,38191240.322999999,178.87490646000001,0,1
131331842.06,4.1616549439754609,38766561.517999999,178.79683170999999,0,1
132757378.06,4.2068274539255208,39599568.774999999,178.68348330000001,0,1
134119800,4.25,40183544.226000004,178.60380821999999,0,1
134142074,4.25070582046797,39885945.038000003,178.59349158000001,0,1
134164348,4.251411640935939,39882656.726999998,178.59625198000001,0,1
134186622,4.252117461403909,39879548.605999999,178.5971902,0,1
134231170,4.253529102339848,39873513.447999999,178.59473169,0,1
134320266,4.256352384211727,39861996.028999999,178.57840653,0,1
134498458,4.261998947955485,39840534.903999999,178.51429311000001,0,1
134676650,4.267645511699242,39820315.465000004,178.42628875,0,1
135033034,4.278938639186757,39783419.387000002,178.18826498999999,0,1
135389418,4.290231766674272,39749263.866999999,177.91010001000001,0,1
136102186,4.3128180216493019,39688245.501999997,177.28240224999999,0,1
137527722,4.357990531599361,39583117.111000001,176.01007598999999,0,1
140378794,4.44833555149948,39406309.832000002,173.82789797999999,0,1
142009200,4.5,39312926.858999997,172.71193635,0,1
142009221.75,4.5000006892159101,39563965.704999998,150.80143032999999,0,1
142009243.5,4.5000013784318202,39589932.876000002,139.00176327,0,1
142009287.00999999,4.5000027571805203,39611446.675999999,130.22047375,0,1
142009374.02000001,4.5000055143610416,39629720.681000002,126.18000012,0,1
142009548.03,4.5000110284052024,39642849.376999997,125.11321049999999,0,1
142009896.06,4.5000220568104039,39651238.674999997,124.94336756,0,1
142010592.12,4.5000441136208078,39656607.085000001,124.90930157,0,1
142011288.19,4.5000661707480925,39659117.035999998,124.89677938,0,1
142011984.25,4.5000882275584964,39660501.193999998,124.89030859,0,1
142012680.31,4.5001102843689003,39661315.215999998,124.88679392,0,1
142014072.44,4.5001543983065888,39661858.461999997,124.88407227,0,1
142016856.69,4.5002426258650843,39661238.189000003,124.88275019,0,1
142022425.19,4.500419080982077,39657457.419,124.88280233,0,1
142033562.19,4.5007719912160624,39646547.159999996,124.88445274999999,0,1
142055836.19,4.5014778116840315,39620873.509999998,124.88877947,0,1
142100384.19,4.5028894526199714,39565619.314000003,124.89821848,0,1
142189480.19,4.5057127344918495,39451421.497000001,124.91775689000001,0,1
142367672.19,4.5113592982356074,39219041.920999996,124.95751262,0,1
142724056.19,4.5226524257231224,38748313.935000002,125.03800126,0,1
142902248.19,4.5282989894668795,38515214.123000003,125.07783559000001,0,1
143258632.19,4.5395921169543945,38044558.428999998,125.15821882,0,1
143971400.19,4.5621783719294244,37125803.457000002,125.31495191,0,1
144327784.19,4.5734714994169394,36681096.120999999,125.39072933,0,1
145040552.19,4.5960577543919685,35862351.865000002,125.53009333999999,0,1
145753320.19,4.6186440093669985,35138240.088,125.65318784,0,1
147178856.19,4.6638165193170584,34062519.105999999,125.83577145,0,1
149898600,4.75,32904040.611000001,126.03202056000001,0,1
149943148,4.751411640935939,32511096.311999999,126.03261559000001,0,1
149987696,4.752823281871879,32513404.173999999,126.04258754999999,0,1
150032244,4.754234922807818,32515727.258000001,126.05168952,0,1
150121340,4.757058204679697,32520103.754999999,126.07206546,0,1
150299532,4.762704768423454,32527963.081,126.12699550000001,0,1
150655916,4.773997895910969,32541080.182,126.28186871,0,1
151368684,4.796584150885999,32560939.166999999,126.68122215,0,1
152794220,4.8417566608360589,32587736.934,127.54011955,0,1
155645292,4.9321016807361779,32619858.131000001,128.98904954,0,1
157788000,5,32637501.581,129.89485723000001,0,1
157788043.5,5.0000013784318202,32966927.978999998,161.26731816,0,1
157788087.00999999,5.0000027571805203,32983366.434,172.83426424000001,0,1
157788174.02000001,5.0000055143610416,32987886.041999999,178.00727236,0,1
157788348.03,5.0000110284052024,32986398.000999998,179.3143814,0,1
157788696.06,5.0000220568104039,32982671.829,179.50783605000001,0,1
157789044.09,5.0000330852156063,32980414.574000001,179.53440362000001,0,1
157789392.12,5.0000441136208078,32978969.210000001,179.54591625,0,1
157790088.19,5.0000661707480925,32977326.627,179.55799192000001,0,1
157791480.31,5.0001102843689003,32975961.423,179.56750299000001,0,1
157794264.56,5.0001985119273966,32975909.748,179.57233242000001,0,1
157799833.06,5.0003749670443884,32979173.162,179.57357497999999,0,1
157810970.06,5.0007278772783739,32989612.526999999,179.57265577999999,0,1
157833244.06,5.0014336977463429,33014731.348000001,179.56944002,0,1
157877792.06,5.0028453386822829,33069666.809,179.56217330000001,0,1
157922340.06,5.0042569796182219,33127041.102000002,179.55455866,0,1
158011436.06,5.0070802614901009,33244154.478,179.53900062,0,1
